playerId,name,position,gp,goals,assists,points
8471867,Luciano Aquino,C,0,0,0,0
8471868,Ryan Russell,L,41,2,0,2
8471869,Pat Brosnihan,R,0,0,0,0
8471870,Scott Todd,D,0,0,0,0
8471871,Bretton Stamler,D,0,0,0,0
8471872,Matt Clackson,R,0,0,0,0
8471873,Anton Stralman,D,938,63,230,293
8471874,Brock Bradford,C,0,0,0,0
8471875,Alexander Sundstrom,C,0,0,0,0
8471876,Nikolai Lemtyugov,L,0,0,0,0
8471877,Matthew Glasser,L,0,0,0,0
8471878,Myles Rumsey,D,0,0,0,0
8471879,Kyle Cumiskey,D,139,9,26,35
8471880,Pat McGann,G,0,0,0,0
8471881,Zach Bearson,R,0,0,0,0
8471882,John Wessbecker,D,0,0,0,0
8471883,John Seymour,L,0,0,0,0
8471884,Andrew Orpik,D,0,0,0,0
8471885,Chad Rau,C,9,2,0,2
8471886,Phillipe Paquet,D,0,0,0,0
8471887,Patric Hornqvist,R,901,264,279,543
8473446,Erik Johnson,D,1023,95,253,348
8473533,Jordan Staal,C,1403,318,429,747
8473604,Jonathan Toews,C,1149,383,529,912
8473563,Nicklas Backstrom,C,1105,271,762,1033
8473548,Phil Kessel,R,1286,413,579,992
8473544,Derick Brassard,C,1013,215,330,545
8473449,Kyle Okposo,R,1051,242,372,614
8473526,Peter Mueller,C,297,63,97,160
8473536,James Sheppard,C,394,23,68,91
8473564,Michael Frolik,R,858,159,225,384
8473541,Jonathan Bernier,G,404,0,8,0
8473412,Bryan Little,C,843,217,304,521
8473482,Jiri Tlusty,L,446,89,88,177
8473546,Michael Grabner,L,640,175,101,276
8473474,Riku Helenius,G,1,0,0,0
8473501,Ty Wishart,D,26,1,5,6
8473453,Trevor Lewis,C,1034,104,133,237
8473485,Chris Stewart,R,668,160,162,322
8473583,Mark Mitera,D,0,0,0,0
8473596,David Fischer,D,0,0,0,0
8473610,Bobby Sanguinetti,D,45,2,4,6
8473512,Claude Giroux,R,1345,379,786,1165
8473575,Semyon Varlamov,G,621,0,8,0
8473497,Dennis Persson,D,0,0,0,0
8473534,Patrik Berglund,C,717,170,156,326
8473414,Leland Irving,G,13,0,1,0
8473582,Ivan Vishnevskiy,D,5,0,2,2
8473422,Nick Foligno,L,1287,251,361,612
8473589,Chris Summers,D,70,2,7,9
8473580,Matthew Corrente,D,34,0,6,6
8473491,Tomas Kana,C,6,0,2,2
