draftYear,overall,round,pickInRound,playerId,name,position,team,teamId,country,name_c,position_c,gp,goals,assists,points,is_goalie,franchise,bin,exp_gp,exp_pts,surplus_gp,surplus_pts
2005,60,2,30,8471722,T.J. Fast,D,LAK,26,CAN,T.J. Fast,D,0,0.0,0.0,0,False,LAK,"(50, 65]",130.2451257790745,49.179012426660584,-130.2451257790745,-49.179012426660584
2005,61,2,31,8471723,Michael Gergen,F,PIT,5,USA,Michael Gergen,L,0,0.0,0.0,0,False,PIT,"(50, 65]",128.05941980737566,48.71200187775444,-128.05941980737566,-48.71200187775444
2005,62,3,1,8471724,Kris Letang,D,PIT,5,CAN,Kris Letang,D,1235,178.0,628.0,806,False,PIT,"(50, 65]",125.97407334933011,48.278407766751634,1109.0259266506698,757.7215922332483
2005,63,3,2,8471725,Jason Bailey,RW,ANA,24,CAN,Jason Bailey,R,0,0.0,0.0,0,False,ANA,"(50, 65]",123.98447826820251,47.875839016352614,-123.98447826820251,-47.875839016352614
2005,64,3,3,8471726,Joe Barnes,C,CAR,12,CAN,Joe Barnes,C,0,0.0,0.0,0,False,CAR,"(50, 65]",122.08623801580958,47.50207564022413,-122.08623801580958,-47.50207564022413
2005,65,3,4,8471727,Kristofer Westblom,G,MIN,30,CAN,Kristofer Westblom,G,0,0.0,0.0,0,True,MIN,"(50, 65]",120.27515791715824,47.15505650076909,-120.27515791715824,
2005,66,3,5,8471728,Brodie Dupont,C,NYR,3,CAN,Brodie Dupont,L,1,0.0,0.0,0,False,NYR,"(65, 80]",118.54723590117729,46.832867942875936,-117.54723590117729,-46.832867942875936
2005,67,3,6,8471729,Kris Russell,D,CBJ,29,CAN,Kris Russell,D,912,48.0,206.0,254,False,CBJ,"(65, 80]",116.89865365705954,46.53373324096787,795.1013463429405,207.46626675903212
2005,68,3,7,8471730,Evan Brophey,F,CHI,16,CAN,Evan Brophey,C,4,0.0,0.0,0,False,CHI,"(65, 80]",115.32576819667179,46.25600280115723,-111.32576819667179,-46.25600280115723
2005,69,3,8,8471731,Gord Baldwin,D,CGY,20,CAN,Gord Baldwin,D,0,0.0,0.0,0,False,CGY,"(65, 80]",113.82510380438777,45.99814506447404,-113.82510380438777,-45.99814506447404
2005,70,3,9,8471732,Vitaly Anikeyenko,D,OTT,9,RUS,Vitaly Anikeyenko,D,0,0.0,0.0,0,False,OTT,"(65, 80]",112.39334435655485,45.75873806100437,-112.39334435655485,-45.75873806100437
2005,71,3,10,8471733,Rich Clune,LW,DAL,25,CAN,Rich Clune,L,139,7.0,15.0,22,False,DAL,"(65, 80]",111.02732599362243,45.53646156836322,27.972674006377574,-23.536461568363222
2005,72,3,11,8471734,Jonathan Quick,G,LAK,26,USA,Jonathan Quick,G,829,0.0,23.0,0,True,LAK,"(65, 80]",109.72403012873889,45.33008983125943,719.2759698712612,
2005,73,3,12,8471736,Radek Smolenak,LW,TBL,14,CZE,Radek Smolenak,L,7,0.0,1.0,1,False,TBL,"(65, 80]",108.48057677736796,45.13848480200428,-101.48057677736796,-44.13848480200428
2005,74,3,13,8471737,Dan Ryder,C,CGY,20,CAN,Dan Ryder,C,0,0.0,0.0,0,False,CGY,"(65, 80]",107.29421819318438,44.960589864688316,-107.29421819318438,-44.960589864688316
2005,75,3,14,8471738,Perttu Lindgren,C,DAL,25,FIN,Perttu Lindgren,C,1,0.0,0.0,0,False,DAL,"(65, 80]",106.16233279618547,44.795424008417875,-105.16233279618547,-44.795424008417875
2005,76,3,15,8471739,Shea Guthrie,F,NYI,2,CAN,Shea Guthrie,R,0,0.0,0.0,0,False,NYI,"(65, 80]",105.08241937960153,44.64207641747942,-105.08241937960153,-44.64207641747942
2005,77,3,16,8471740,Dalyn Flatt,D,NYR,3,CAN,Dalyn Flatt,D,0,0.0,0.0,0,False,NYR,"(65, 80]",104.05209158280329,44.49970144859892,-104.05209158280329,-44.49970144859892
2005,78,3,17,8471741,Teemu Laakso,D,NSH,18,FIN,Teemu Laakso,D,17,0.0,0.0,0,False,NSH,"(65, 80]",103.06907261799299,44.36751396759794,-86.06907261799299,-44.36751396759794
