generation,education,age,occupation,kind,chinese,total_pop,not_vismin
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,30 Specialized middle management occupations in health care,mgmt,255.0,12205.0,10170.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"4 Occupations in education, law and social, community and government servic",broad,15880.0,571400.0,460245.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"5 Occupations in art, culture, recreation and sport",broad,5270.0,111910.0,91520.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,240.0,6575.0,5760.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,6 Sales and service occupations,broad,52470.0,824030.0,559415.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,10435.0,171900.0,129305.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"7 Trades, transport and equipment operators and related occupations",broad,17295.0,703360.0,543960.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,70 Middle management occupations in trades and transportation,mgmt,3010.0,72325.0,58360.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,"8 Natural resources, agriculture and related production occupations",broad,1390.0,92695.0,82625.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,80 Middle management occupations in production and agriculture,mgmt,555.0,33105.0,30865.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,9 Occupations in manufacturing and utilities,broad,9730.0,212115.0,133455.0
Total - Generation status,"Total - Highest certificate, diploma or degree",45 to 54 years,90 Middle management occupations in manufacturing and utilities,mgmt,1045.0,26370.0,21485.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,0 Legislative and senior management occupations,mgmt,6290.0,143720.0,117595.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"1 Business, finance and administration occupations",broad,141810.0,1418465.0,863115.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"10 Specialized middle management occupations in administrative services, fi",mgmt,23820.0,263810.0,177000.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,2 Natural and applied sciences and related occupations,tech_broad,118255.0,976340.0,518480.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,8145.0,94445.0,58695.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,21 Professional occupations in natural and applied sciences,tech_prof,94255.0,736395.0,387170.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,3 Health occupations,broad,44750.0,751470.0,472730.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,30 Specialized middle management occupations in health care,mgmt,990.0,25560.0,19320.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"4 Occupations in education, law and social, community and government servic",broad,66525.0,1529520.0,1174505.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"5 Occupations in art, culture, recreation and sport",broad,20680.0,289490.0,217070.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,565.0,14650.0,12425.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,6 Sales and service occupations,broad,84950.0,910455.0,429080.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,60 Middle management occupations in retail and wholesale trade and customer,mgmt,19665.0,195450.0,111340.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"7 Trades, transport and equipment operators and related occupations",broad,21245.0,327830.0,159425.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,70 Middle management occupations in trades and transportation,mgmt,5475.0,71775.0,46470.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,"8 Natural resources, agriculture and related production occupations",broad,1555.0,58750.0,48680.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,80 Middle management occupations in production and agriculture,mgmt,595.0,26610.0,24025.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,9 Occupations in manufacturing and utilities,broad,8675.0,126315.0,51670.0
Total - Generation status,Bachelor’s degree or higher,Total - Age,90 Middle management occupations in manufacturing and utilities,mgmt,2315.0,30905.0,20980.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,0 Legislative and senior management occupations,mgmt,955.0,13695.0,9865.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"1 Business, finance and administration occupations",broad,49740.0,418830.0,227230.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,7640.0,68050.0,40780.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,2 Natural and applied sciences and related occupations,tech_broad,34440.0,298180.0,141050.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,1635.0,16420.0,8945.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,21 Professional occupations in natural and applied sciences,tech_prof,28745.0,236680.0,111610.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,3 Health occupations,broad,15820.0,226420.0,138680.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,30 Specialized middle management occupations in health care,mgmt,230.0,3735.0,2325.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"4 Occupations in education, law and social, community and government servic",broad,22840.0,380370.0,271755.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"5 Occupations in art, culture, recreation and sport",broad,7830.0,84385.0,57580.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,155.0,3295.0,2680.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,6 Sales and service occupations,broad,26400.0,275515.0,117005.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,5610.0,52040.0,27045.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"7 Trades, transport and equipment operators and related occupations",broad,4420.0,80285.0,35875.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,70 Middle management occupations in trades and transportation,mgmt,1390.0,17415.0,10540.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,"8 Natural resources, agriculture and related production occupations",broad,310.0,12755.0,10355.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,80 Middle management occupations in production and agriculture,mgmt,120.0,3700.0,3240.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,9 Occupations in manufacturing and utilities,broad,1565.0,28560.0,11370.0
Total - Generation status,Bachelor’s degree or higher,25 to 34 years,90 Middle management occupations in manufacturing and utilities,mgmt,475.0,5530.0,3420.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,0 Legislative and senior management occupations,mgmt,1770.0,33805.0,25740.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"1 Business, finance and administration occupations",broad,36070.0,375935.0,214515.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,7950.0,83980.0,53185.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,2 Natural and applied sciences and related occupations,tech_broad,26095.0,270190.0,133190.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,2625.0,31950.0,17635.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,21 Professional occupations in natural and applied sciences,tech_prof,20215.0,199965.0,97125.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,3 Health occupations,broad,10750.0,204505.0,122075.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,30 Specialized middle management occupations in health care,mgmt,325.0,7680.0,5425.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"4 Occupations in education, law and social, community and government servic",broad,15940.0,412075.0,311350.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"5 Occupations in art, culture, recreation and sport",broad,4940.0,71630.0,51825.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,145.0,4350.0,3625.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,6 Sales and service occupations,broad,19635.0,205710.0,86625.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,5490.0,53845.0,28970.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"7 Trades, transport and equipment operators and related occupations",broad,4560.0,84580.0,36630.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,70 Middle management occupations in trades and transportation,mgmt,1565.0,19690.0,11785.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,"8 Natural resources, agriculture and related production occupations",broad,225.0,11605.0,8945.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,80 Middle management occupations in production and agriculture,mgmt,80.0,5810.0,5145.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,9 Occupations in manufacturing and utilities,broad,1605.0,33075.0,12825.0
Total - Generation status,Bachelor’s degree or higher,35 to 44 years,90 Middle management occupations in manufacturing and utilities,mgmt,645.0,8760.0,5695.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,0 Legislative and senior management occupations,mgmt,1930.0,45445.0,37540.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"1 Business, finance and administration occupations",broad,29415.0,290100.0,185980.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,5285.0,65185.0,46930.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,2 Natural and applied sciences and related occupations,tech_broad,31215.0,203550.0,112820.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,2440.0,28065.0,18630.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,21 Professional occupations in natural and applied sciences,tech_prof,24405.0,145005.0,79115.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,3 Health occupations,broad,8425.0,152975.0,92040.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,30 Specialized middle management occupations in health care,mgmt,205.0,8030.0,6425.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"4 Occupations in education, law and social, community and government servic",broad,12130.0,356040.0,282270.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"5 Occupations in art, culture, recreation and sport",broad,3255.0,50955.0,39455.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,145.0,3400.0,2930.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,6 Sales and service occupations,broad,17955.0,164595.0,79500.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,4895.0,45320.0,26920.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"7 Trades, transport and equipment operators and related occupations",broad,6055.0,73510.0,34700.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,70 Middle management occupations in trades and transportation,mgmt,1375.0,16840.0,11040.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,"8 Natural resources, agriculture and related production occupations",broad,435.0,9465.0,7215.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,80 Middle management occupations in production and agriculture,mgmt,195.0,4990.0,4305.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,9 Occupations in manufacturing and utilities,broad,2310.0,31890.0,12985.0
Total - Generation status,Bachelor’s degree or higher,45 to 54 years,90 Middle management occupations in manufacturing and utilities,mgmt,645.0,9120.0,6400.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,0 Legislative and senior management occupations,mgmt,6885.0,60120.0,30375.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"1 Business, finance and administration occupations",broad,159300.0,1025635.0,298995.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"10 Specialized middle management occupations in administrative services, fi",mgmt,22975.0,134710.0,44250.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,2 Natural and applied sciences and related occupations,tech_broad,114355.0,698325.0,194455.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,6760.0,54090.0,19450.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,21 Professional occupations in natural and applied sciences,tech_prof,85915.0,471670.0,124625.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,3 Health occupations,broad,40745.0,513810.0,111305.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,30 Specialized middle management occupations in health care,mgmt,880.0,9545.0,3540.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"4 Occupations in education, law and social, community and government servic",broad,62970.0,612735.0,207210.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"5 Occupations in art, culture, recreation and sport",broad,23260.0,173230.0,79070.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,605.0,5065.0,2625.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,6 Sales and service occupations,broad,210935.0,1653775.0,351540.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,60 Middle management occupations in retail and wholesale trade and customer,mgmt,35040.0,219590.0,61340.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"7 Trades, transport and equipment operators and related occupations",broad,60895.0,909970.0,275695.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,70 Middle management occupations in trades and transportation,mgmt,10595.0,81775.0,32895.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,"8 Natural resources, agriculture and related production occupations",broad,4715.0,82995.0,38340.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,80 Middle management occupations in production and agriculture,mgmt,1460.0,22895.0,15630.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,9 Occupations in manufacturing and utilities,broad,33425.0,349110.0,58710.0
First generation,"Total - Highest certificate, diploma or degree",Total - Age,90 Middle management occupations in manufacturing and utilities,mgmt,3170.0,24405.0,9720.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,0 Legislative and senior management occupations,mgmt,825.0,5750.0,2145.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"1 Business, finance and administration occupations",broad,41815.0,242260.0,51150.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,6055.0,31545.0,8095.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,2 Natural and applied sciences and related occupations,tech_broad,27735.0,192515.0,38145.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,1140.0,8885.0,2500.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,21 Professional occupations in natural and applied sciences,tech_prof,22415.0,140935.0,27080.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,3 Health occupations,broad,9420.0,107740.0,16350.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,30 Specialized middle management occupations in health care,mgmt,175.0,1500.0,335.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"4 Occupations in education, law and social, community and government servic",broad,17050.0,127610.0,34355.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"5 Occupations in art, culture, recreation and sport",broad,6850.0,43925.0,16485.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,110.0,960.0,440.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,6 Sales and service occupations,broad,39435.0,329965.0,52600.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,7110.0,45705.0,9945.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"7 Trades, transport and equipment operators and related occupations",broad,9445.0,166690.0,36995.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,70 Middle management occupations in trades and transportation,mgmt,1905.0,13865.0,4185.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,"8 Natural resources, agriculture and related production occupations",broad,505.0,13395.0,5265.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,80 Middle management occupations in production and agriculture,mgmt,130.0,2340.0,1450.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,9 Occupations in manufacturing and utilities,broad,2485.0,50955.0,6700.0
First generation,"Total - Highest certificate, diploma or degree",25 to 34 years,90 Middle management occupations in manufacturing and utilities,mgmt,430.0,3085.0,845.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,0 Legislative and senior management occupations,mgmt,1630.0,13345.0,5410.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"1 Business, finance and administration occupations",broad,36435.0,261985.0,64725.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,6805.0,42140.0,12285.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,2 Natural and applied sciences and related occupations,tech_broad,23460.0,194715.0,48610.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,1910.0,18905.0,5590.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,21 Professional occupations in natural and applied sciences,tech_prof,17300.0,132810.0,31430.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,3 Health occupations,broad,8195.0,137075.0,23520.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,30 Specialized middle management occupations in health care,mgmt,270.0,2830.0,835.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"4 Occupations in education, law and social, community and government servic",broad,12995.0,154045.0,45720.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"5 Occupations in art, culture, recreation and sport",broad,4950.0,40955.0,17510.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,170.0,1385.0,655.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,6 Sales and service occupations,broad,41820.0,323410.0,54350.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,8765.0,54400.0,12435.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,"7 Trades, transport and equipment operators and related occupations",broad,11915.0,218320.0,54335.0
First generation,"Total - Highest certificate, diploma or degree",35 to 44 years,70 Middle management occupations in trades and transportation,mgmt,2580.0,20960.0,7185.0
