generation,education,age,occupation,kind,chinese,total_pop,not_vismin
Second generation,Bachelor’s degree or higher,35 to 44 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,805.0,5125.0,2910.0
Second generation,Bachelor’s degree or higher,35 to 44 years,21 Professional occupations in natural and applied sciences,tech_prof,4000.0,24005.0,13900.0
Second generation,Bachelor’s degree or higher,35 to 44 years,3 Health occupations,broad,4505.0,34115.0,18660.0
Second generation,Bachelor’s degree or higher,35 to 44 years,30 Specialized middle management occupations in health care,mgmt,125.0,1515.0,885.0
Second generation,Bachelor’s degree or higher,35 to 44 years,"4 Occupations in education, law and social, community and government servic",broad,4950.0,77275.0,54375.0
Second generation,Bachelor’s degree or higher,35 to 44 years,"5 Occupations in art, culture, recreation and sport",broad,1465.0,13935.0,9350.0
Second generation,Bachelor’s degree or higher,35 to 44 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,45.0,980.0,690.0
Second generation,Bachelor’s degree or higher,35 to 44 years,6 Sales and service occupations,broad,2725.0,25800.0,16140.0
Second generation,Bachelor’s degree or higher,35 to 44 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,1035.0,9030.0,5785.0
Second generation,Bachelor’s degree or higher,35 to 44 years,"7 Trades, transport and equipment operators and related occupations",broad,635.0,8610.0,6055.0
Second generation,Bachelor’s degree or higher,35 to 44 years,70 Middle management occupations in trades and transportation,mgmt,315.0,3365.0,2340.0
Second generation,Bachelor’s degree or higher,35 to 44 years,"8 Natural resources, agriculture and related production occupations",broad,35.0,1500.0,1320.0
Second generation,Bachelor’s degree or higher,35 to 44 years,80 Middle management occupations in production and agriculture,mgmt,10.0,775.0,690.0
Second generation,Bachelor’s degree or higher,35 to 44 years,9 Occupations in manufacturing and utilities,broad,310.0,2810.0,1865.0
Second generation,Bachelor’s degree or higher,35 to 44 years,90 Middle management occupations in manufacturing and utilities,mgmt,145.0,1390.0,940.0
Second generation,Bachelor’s degree or higher,45 to 54 years,0 Legislative and senior management occupations,mgmt,350.0,9075.0,7755.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"1 Business, finance and administration occupations",broad,3560.0,49390.0,39615.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"10 Specialized middle management occupations in administrative services, fi",mgmt,795.0,13005.0,10595.0
Second generation,Bachelor’s degree or higher,45 to 54 years,2 Natural and applied sciences and related occupations,tech_broad,2350.0,25255.0,19865.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"20 Specialized middle management occupations in engineering, architecture, ",mgmt,345.0,4615.0,3715.0
Second generation,Bachelor’s degree or higher,45 to 54 years,21 Professional occupations in natural and applied sciences,tech_prof,1740.0,17500.0,13625.0
Second generation,Bachelor’s degree or higher,45 to 54 years,3 Health occupations,broad,1820.0,21510.0,16030.0
Second generation,Bachelor’s degree or higher,45 to 54 years,30 Specialized middle management occupations in health care,mgmt,50.0,1225.0,995.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"4 Occupations in education, law and social, community and government servic",broad,2280.0,66955.0,56930.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"5 Occupations in art, culture, recreation and sport",broad,610.0,10510.0,8645.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"50 Specialized middle management occupations in art, culture, recreation an",mgmt,30.0,775.0,680.0
Second generation,Bachelor’s degree or higher,45 to 54 years,6 Sales and service occupations,broad,1115.0,20830.0,17100.0
Second generation,Bachelor’s degree or higher,45 to 54 years,60 Middle management occupations in retail and wholesale trade and customer,mgmt,325.0,7285.0,6135.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"7 Trades, transport and equipment operators and related occupations",broad,305.0,7810.0,6770.0
Second generation,Bachelor’s degree or higher,45 to 54 years,70 Middle management occupations in trades and transportation,mgmt,95.0,2800.0,2460.0
Second generation,Bachelor’s degree or higher,45 to 54 years,"8 Natural resources, agriculture and related production occupations",broad,40.0,1340.0,1235.0
Second generation,Bachelor’s degree or higher,45 to 54 years,80 Middle management occupations in production and agriculture,mgmt,25.0,755.0,690.0
Second generation,Bachelor’s degree or higher,45 to 54 years,9 Occupations in manufacturing and utilities,broad,130.0,2565.0,2235.0
Second generation,Bachelor’s degree or higher,45 to 54 years,90 Middle management occupations in manufacturing and utilities,mgmt,70.0,1485.0,1275.0
