vismin,generation,age,mother_tongue,total,single
Not a visible minority,Total - Generation status,Total - Age,Chinese languages,1380.0,840.0
Not a visible minority,Total - Generation status,Total - Age,Mandarin,690.0,375.0
Not a visible minority,Total - Generation status,Total - Age,Yue (Cantonese),475.0,340.0
Not a visible minority,Total - Generation status,Total - Age,"Chinese, n.o.s.",110.0,65.0
Not a visible minority,Total - Generation status,25 to 54 years,Total - Mother tongue,10009570.0,9786385.0
Not a visible minority,Total - Generation status,25 to 54 years,English,6727630.0,6529130.0
Not a visible minority,Total - Generation status,25 to 54 years,French,2538020.0,2420395.0
Not a visible minority,Total - Generation status,25 to 54 years,Chinese languages,330.0,220.0
Not a visible minority,Total - Generation status,25 to 54 years,Mandarin,110.0,65.0
Not a visible minority,Total - Generation status,25 to 54 years,Yue (Cantonese),155.0,125.0
Not a visible minority,Total - Generation status,25 to 54 years,"Chinese, n.o.s.",40.0,30.0
Not a visible minority,First generation,Total - Age,Total - Mother tongue,2933035.0,2817490.0
Not a visible minority,First generation,Total - Age,English,1110705.0,1035570.0
Not a visible minority,First generation,Total - Age,French,255450.0,221245.0
Not a visible minority,First generation,Total - Age,Chinese languages,560.0,410.0
Not a visible minority,First generation,Total - Age,Mandarin,305.0,200.0
Not a visible minority,First generation,Total - Age,Yue (Cantonese),195.0,165.0
Not a visible minority,First generation,Total - Age,"Chinese, n.o.s.",40.0,35.0
Not a visible minority,First generation,25 to 54 years,Total - Mother tongue,1079095.0,1028815.0
Not a visible minority,First generation,25 to 54 years,English,362995.0,331535.0
Not a visible minority,First generation,25 to 54 years,French,132835.0,117185.0
Not a visible minority,First generation,25 to 54 years,Chinese languages,165.0,125.0
Not a visible minority,First generation,25 to 54 years,Mandarin,65.0,45.0
Not a visible minority,First generation,25 to 54 years,Yue (Cantonese),70.0,65.0
Not a visible minority,First generation,25 to 54 years,"Chinese, n.o.s.",20.0,20.0
Not a visible minority,Second generation,Total - Age,Total - Mother tongue,3798130.0,3621020.0
Not a visible minority,Second generation,Total - Age,English,3017965.0,2859615.0
Not a visible minority,Second generation,Total - Age,French,326455.0,263950.0
Not a visible minority,Second generation,Total - Age,Chinese languages,510.0,260.0
Not a visible minority,Second generation,Total - Age,Mandarin,305.0,140.0
Not a visible minority,Second generation,Total - Age,Yue (Cantonese),170.0,105.0
Not a visible minority,Second generation,Total - Age,"Chinese, n.o.s.",15.0,10.0
Not a visible minority,Second generation,25 to 54 years,Total - Mother tongue,1441400.0,1370240.0
Not a visible minority,Second generation,25 to 54 years,English,1175155.0,1108005.0
Not a visible minority,Second generation,25 to 54 years,French,106425.0,84430.0
Not a visible minority,Second generation,25 to 54 years,Chinese languages,80.0,60.0
Not a visible minority,Second generation,25 to 54 years,Mandarin,15.0,10.0
Not a visible minority,Second generation,25 to 54 years,Yue (Cantonese),60.0,50.0
Not a visible minority,Second generation,25 to 54 years,"Chinese, n.o.s.",0.0,0.0
Not a visible minority,Third generation or more,Total - Age,Total - Mother tongue,19958110.0,19698690.0
Not a visible minority,Third generation or more,Total - Age,English,13537125.0,13283935.0
Not a visible minority,Third generation or more,Total - Age,French,6372650.0,6172175.0
Not a visible minority,Third generation or more,Total - Age,Chinese languages,305.0,170.0
Not a visible minority,Third generation or more,Total - Age,Mandarin,75.0,40.0
Not a visible minority,Third generation or more,Total - Age,Yue (Cantonese),110.0,70.0
Not a visible minority,Third generation or more,Total - Age,"Chinese, n.o.s.",60.0,25.0
Not a visible minority,Third generation or more,25 to 54 years,Total - Mother tongue,7489070.0,7387330.0
Not a visible minority,Third generation or more,25 to 54 years,English,5189485.0,5089590.0
Not a visible minority,Third generation or more,25 to 54 years,French,2298765.0,2218785.0
Not a visible minority,Third generation or more,25 to 54 years,Chinese languages,90.0,35.0
Not a visible minority,Third generation or more,25 to 54 years,Mandarin,35.0,15.0
Not a visible minority,Third generation or more,25 to 54 years,Yue (Cantonese),20.0,15.0
Not a visible minority,Third generation or more,25 to 54 years,"Chinese, n.o.s.",20.0,0.0
