unit_id,cluster,umap_x,umap_y
294,6,-0.77582794,8.68548
295,2,-0.7880153,8.681206
296,7,4.465057,10.894114
297,4,6.069821,8.805392
298,2,4.7012773,10.604739
299,13,1.3246118,7.7514067
300,11,1.9113344,9.861552
301,18,3.1798828,13.230242
302,19,5.8247256,11.37829
303,18,5.8899236,11.349288
304,19,2.4750605,11.413823
305,19,0.05936147,8.6493635
306,11,1.4745915,8.002965
307,11,5.9008865,11.31646
308,14,3.8691795,4.02644
309,15,2.4587026,10.6784935
310,14,3.8219163,4.075212
311,2,3.7870393,4.1301484
312,14,3.8485591,4.046465
313,21,-2.1994617,7.228663
314,2,3.7602723,4.0936813
315,6,4.298018,13.026851
316,19,4.465845,13.553968
317,10,5.3993845,9.874241
318,10,5.3955865,9.876102
319,2,2.1467075,8.759593
320,12,-1.7527685,11.354049
321,1,3.7112863,4.12442
322,1,3.7242048,4.0966687
323,2,0.7936445,5.88732
324,21,-2.2034223,7.2329683
325,2,3.7760806,4.1481447
326,2,3.785006,4.1347504
327,2,0.8074322,5.8686585
328,2,6.4854875,7.733273
329,4,1.0293635,7.794656
330,12,6.6856785,12.498074
331,2,1.2009097,7.6214027
332,6,-0.69016254,7.2155595
333,17,3.7365522,4.1848907
334,11,0.6770465,10.99308
335,11,6.5936437,11.557661
336,2,1.2380904,8.729481
337,16,1.0660948,11.404408
338,2,3.748307,4.2507873
339,7,4.6674438,10.846826
340,14,3.819883,4.086201
341,2,3.7198997,4.2228966
342,6,4.3698535,7.8731966
343,11,1.25574,8.802897
344,14,3.4852085,11.046144
345,21,-2.1875973,7.214182
346,0,-0.77045345,8.610665
347,2,2.5165994,6.01427
348,6,4.227465,12.88858
349,2,3.9443514,10.6165285
350,2,3.98161,10.594481
351,2,-0.018587174,7.177948
352,2,4.0498724,12.134399
353,2,1.704029,13.494485
354,2,0.83339304,5.855612
355,4,0.8492368,5.8559585
356,2,1.2027851,11.435706
357,17,0.96154696,12.04062
358,6,3.3162766,6.892943
359,17,1.5524493,13.964558
360,0,1.0691758,7.7570033
361,2,3.7757792,4.1398444
362,2,3.9674299,5.714203
363,6,0.87619996,5.9422894
364,2,1.0583515,7.8378477
365,17,1.2154552,9.160882
366,1,1.1752487,7.78982
367,10,3.6475925,4.350236
368,12,2.5528576,8.525141
369,12,2.6723466,7.1407466
370,4,3.8178914,4.207346
371,1,1.1572059,7.763518
372,2,2.0187624,9.926612
373,11,2.3603582,9.4672985
374,1,1.1691024,7.7719946
375,2,2.0559142,9.897377
376,1,1.1218276,7.7520013
377,1,1.1326698,7.740689
378,14,3.8371918,4.0674777
379,12,6.7275686,12.430164
380,2,3.894545,7.6152983
381,4,6.036742,8.745331
382,2,3.8136744,4.133681
383,2,-1.1823059,12.415544
384,2,5.6162653,13.317362
385,1,3.7175846,4.1063256
386,14,3.496045,11.0802355
387,14,3.4595666,11.017409
388,14,2.478799,7.2375765
389,14,-0.6953975,7.201363
390,2,2.3958786,7.31306
391,2,-0.49239674,8.045519
392,2,2.5624645,5.839176
393,11,0.03853795,11.588961
394,2,2.9757502,10.672412
395,6,3.242134,6.9227147
396,2,3.9946544,10.598924
397,2,1.6848215,13.523119
398,12,6.6829815,12.486069
399,14,3.1909177,6.8822117
400,2,3.730289,4.168497
401,2,3.62542,10.613336
402,6,1.0879482,7.756745
403,14,1.3093,8.800031
404,6,4.2213607,12.925253
405,1,-1.0856425,7.888625
406,2,2.4958694,10.390522
407,12,1.7146636,7.3091493
408,11,2.8635614,6.5018525
409,13,1.7805008,11.59071
410,6,3.321061,6.9181046
411,1,3.7192771,4.195388
412,2,0.8966031,8.9354105
413,17,0.8882626,10.98826
414,14,3.1914232,10.941803
415,11,3.528755,12.866317
416,2,1.8544276,12.034675
417,2,5.8900084,11.317157
418,2,-0.6849849,7.2187862
419,2,-0.7541249,8.637492
420,4,3.8232145,4.1137066
421,12,4.500122,10.12423
422,2,1.5172048,9.236229
423,12,1.4416611,9.29459
424,17,1.0137824,11.924279
425,2,-0.2891707,5.723503
426,2,-0.58365417,10.301592
427,21,-2.2002358,7.241621
428,2,5.2414117,14.040657
429,11,-0.24568962,8.872938
430,2,1.3057555,10.497618
431,6,4.2700825,12.905772
432,14,5.568782,12.099794
433,6,4.256208,12.846103
434,6,4.31914,12.776595
435,2,4.0905724,14.385901
436,6,4.2571025,12.877002
437,20,0.21077764,8.639016
438,2,2.4178486,7.3130994
439,6,1.4766326,7.095769
440,1,2.3490994,7.9464693
441,10,5.3599424,9.862865
442,6,3.3390899,6.904545
443,6,3.1456053,6.9671764
444,2,0.67577875,7.947829
445,2,5.523939,11.008559
446,2,2.9363105,10.272938
447,0,-0.77223885,8.547193
448,2,2.4380531,7.33384
449,12,-0.32454345,8.749888
450,2,3.8922672,11.197895
451,11,-0.84906167,8.492542
452,2,5.837193,11.354706
453,2,5.7693524,11.220606
454,2,5.8625,11.361146
